Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-19,18:00:00,1,1579456800000.0,9.46487155299654,19.68170016204102,1.0,21.679680453963677
2020-01-19,20:00:00,1,1579464000000.0,9.588391402091135,19.628160320647005,1.0,21.533151157172128
2020-01-19,22:00:00,1,1579471200000.0,9.635507115407004,19.6225709345444,1.0,21.500967406424312
2020-01-20,00:00:00,1,1579478400000.0,9.640799306394172,19.60016862606526,1.0,21.434728400567824
2020-01-20,02:00:00,1,1579485600000.0,9.632141523718282,19.53163663730132,1.0,21.40950543817787
2020-01-20,04:00:00,1,1579492800000.0,9.374868613161874,19.793606637980783,1.0,22.327219162661336
2020-01-20,06:00:00,1,1579500000000.0,8.989103880157279,20.17944901000566,1.0,23.04198552501969
2020-01-20,08:00:00,1,1579507200000.0,9.24501475036069,20.508855734244584,1.0,23.19924284341609
2020-01-20,10:00:00,1,1579514400000.0,9.304228049644564,20.69911687696085,1.0,23.611064159825013
2020-01-20,12:00:00,1,1579521600000.0,8.776819442168073,21.224652991256747,1.0,24.230795031793487
2020-01-20,14:00:00,1,1579528800000.0,8.431930999270396,21.200525964264315,1.0,24.06562136460073
2020-01-20,16:00:00,1,1579536000000.0,7.234917982817198,21.316070783323838,1.0,24.073159277614646
2020-01-20,18:00:00,1,1579543200000.0,7.183382423173795,20.78571745102577,1.0,22.69190168280435
2020-01-20,20:00:00,1,1579550400000.0,7.596423971988997,20.456036853750163,1.0,22.280336424930866
2020-01-20,22:00:00,1,1579557600000.0,6.985152514023485,20.27465822278012,1.0,22.157636270936315
2020-01-21,00:00:00,1,1579564800000.0,6.800000092438604,20.00912918922126,1.0,22.04657148602734
2020-01-21,02:00:00,1,1579572000000.0,6.476277625147101,19.851271824079607,1.0,21.995666790369636
2020-01-21,04:00:00,1,1579579200000.0,5.912263324494416,20.102040437273885,1.0,22.83890660282941
2020-01-21,06:00:00,1,1579586400000.0,5.483911682854942,20.367675737126262,1.0,23.49594017714074
2020-01-21,08:00:00,1,1579593600000.0,5.637610421042308,20.70866671759991,1.0,23.77557307274849
2020-01-21,10:00:00,1,1579600800000.0,6.310349155686009,20.96192677040084,1.0,24.22928068765232
2020-01-21,12:00:00,1,1579608000000.0,6.243584334373876,21.58998730025173,1.0,25.180648089558524
2020-01-21,14:00:00,1,1579615200000.0,6.572780775432081,21.544299440620623,1.0,24.70937994586933
2020-01-21,16:00:00,1,1579622400000.0,6.450862458637897,21.23251994337211,1.0,24.35584757535659
2020-01-21,18:00:00,1,1579629600000.0,6.417627209216845,20.692722098286733,1.0,23.07233905992841
2020-01-21,20:00:00,1,1579636800000.0,6.106731071961643,20.335927342987382,1.0,22.726524970087123
2020-01-21,22:00:00,1,1579644000000.0,5.837476382070034,20.10490050531461,1.0,22.432835250729315
2020-01-22,00:00:00,1,1579651200000.0,5.651135801617017,19.943499994819582,1.0,22.29293323520857
