Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-26,02:00:00,1,1580004000000.0,8.40891851674723,19.028649667556117,1.0,21.35725650217637
2020-01-26,04:00:00,1,1580011200000.0,8.398527186710291,18.96697505281711,1.0,21.299389415383967
2020-01-26,06:00:00,1,1580018400000.0,8.404205733418591,18.900167863125805,1.0,21.234707847983582
2020-01-26,08:00:00,1,1580025600000.0,8.507425235809276,18.90185069837237,1.0,21.227303668236
2020-01-26,10:00:00,1,1580032800000.0,9.018342418534242,18.890575939334138,1.0,21.19448958939748
2020-01-26,12:00:00,1,1580040000000.0,9.65929740810274,18.974989387133466,1.0,21.239966441865825
2020-01-26,14:00:00,1,1580047200000.0,10.247139279562534,19.094825771911133,1.0,21.19659309082288
2020-01-26,16:00:00,1,1580054400000.0,10.556521026537506,19.01169545900235,1.0,21.200589703570703
2020-01-26,18:00:00,1,1580061600000.0,10.719141791435566,18.964808448001925,1.0,21.18673045682857
2020-01-26,20:00:00,1,1580068800000.0,10.66482963790701,18.899747198551804,1.0,21.12768243910838
2020-01-26,22:00:00,1,1580076000000.0,10.584855085067204,18.83262451927753,1.0,21.04634010104708
2020-01-27,00:00:00,1,1580083200000.0,11.172801849869153,18.79873716124076,1.0,20.92307015869269
2020-01-27,02:00:00,1,1580090400000.0,12.187610382084891,18.766238708881254,1.0,20.78662125744336
2020-01-27,04:00:00,1,1580097600000.0,12.6092135971416,19.00971841631589,1.0,21.626503911899025
2020-01-27,06:00:00,1,1580104800000.0,12.810727852455043,19.49871670342214,1.0,22.40605798367447
2020-01-27,08:00:00,1,1580112000000.0,13.014072354821836,20.36215811614284,1.0,22.810811678702255
2020-01-27,10:00:00,1,1580119200000.0,12.515418494003482,20.61846889444495,1.0,22.973159342289573
2020-01-27,12:00:00,1,1580126400000.0,12.816831493638526,20.622112668641563,1.0,23.06222148697869
2020-01-27,14:00:00,1,1580133600000.0,14.3763988893675,20.60828816354099,1.0,23.47341176226804
2020-01-27,16:00:00,1,1580140800000.0,13.841102261878284,20.81804778950025,1.0,23.36827911566324
2020-01-27,18:00:00,1,1580148000000.0,14.447875478661858,20.108834717220557,1.0,22.159023993447597
2020-01-27,20:00:00,1,1580155200000.0,14.17231804089833,19.73941956400921,1.0,21.701767045608022
2020-01-27,22:00:00,1,1580162400000.0,14.286411386906323,19.53361392713265,1.0,21.445635965068508
2020-01-28,00:00:00,1,1580169600000.0,14.898023126403617,19.410641089197718,1.0,21.317395194217745
2020-01-28,02:00:00,1,1580176800000.0,14.975220772113728,19.398064398695357,1.0,21.21764868470265
